max_reward reward cum_regret
1 0 0
0 -1 0.5
1 0 0.3333333333333333
0 0 0.25
1 -1 0.4
1 0 0.3333333333333333
1 0 0.2857142857142857
1 0 0.25
1 0 0.2222222222222222
1 -1 0.3
1 0 0.2727272727272727
1 -1 0.3333333333333333
0 0 0.3076923076923077
0 -1 0.35714285714285715
1 0 0.3333333333333333
1 0 0.3125
1 -1 0.35294117647058826
1 0 0.3333333333333333
2 -1 0.3684210526315789
1 0 0.35
1 0 0.3333333333333333
2 -1 0.36363636363636365
1 0 0.34782608695652173
0 0 0.3333333333333333
0 0 0.32
1 0 0.3076923076923077
0 -1 0.3333333333333333
0 0 0.32142857142857145
0 -1 0.3448275862068966
1 0 0.3333333333333333
1 0 0.3225806451612903
0 -1 0.34375
0 0 0.3333333333333333
1 0 0.3235294117647059
2 -1 0.34285714285714286
1 0 0.3333333333333333
0 0 0.32432432432432434
0 0 0.3157894736842105
0 0 0.3076923076923077
2 -1 0.325
1 0 0.3170731707317073
1 0 0.30952380952380953
0 -1 0.32558139534883723
1 0 0.3181818181818182
1 0 0.3111111111111111
0 0 0.30434782608695654
1 0 0.2978723404255319
1 0 0.2916666666666667
1 0 0.2857142857142857
0 0 0.28
1 0 0.27450980392156865
0 0 0.2692307692307692
1 0 0.2641509433962264
1 0 0.25925925925925924
0 0 0.2545454545454545
0 0 0.25
1 0 0.24561403508771928
0 0 0.2413793103448276
1 0 0.23728813559322035
0 0 0.23333333333333334
1 0 0.22950819672131148
1 0 0.22580645161290322
1 -1 0.23809523809523808
2 -1 0.25
1 0 0.24615384615384617
1 0 0.24242424242424243
1 -1 0.2537313432835821
0 -1 0.2647058823529412
0 0 0.2608695652173913
2 -1 0.2714285714285714
0 -1 0.28169014084507044
1 -1 0.2916666666666667
0 0 0.2876712328767123
1 -1 0.2972972972972973
1 -1 0.30666666666666664
0 0 0.3026315789473684
1 0 0.2987012987012987
0 0 0.2948717948717949
1 0 0.2911392405063291
1 -1 0.3
1 0 0.2962962962962963
1 0 0.2926829268292683
0 0 0.2891566265060241
1 0 0.2857142857142857
1 0 0.2823529411764706
0 -1 0.29069767441860467
1 0 0.28735632183908044
2 -1 0.29545454545454547
0 -1 0.30337078651685395
2 -1 0.3111111111111111
1 0 0.3076923076923077
1 0 0.30434782608695654
1 0 0.3010752688172043
2 -1 0.30851063829787234
1 0 0.30526315789473685
1 0 0.3020833333333333
1 0 0.29896907216494845
1 0 0.29591836734693877
1 0 0.29292929292929293
1 0 0.29
0 0 0.2871287128712871
2 -1 0.29411764705882354
0 -1 0.30097087378640774
0 0 0.2980769230769231
1 0 0.29523809523809524
2 -1 0.3018867924528302
1 0 0.29906542056074764
1 0 0.2962962962962963
1 -1 0.30275229357798167
0 -1 0.3090909090909091
1 0 0.3063063063063063
1 0 0.30357142857142855
2 -1 0.30973451327433627
0 0 0.30701754385964913
0 0 0.30434782608695654
1 0 0.3017241379310345
2 -1 0.3076923076923077
1 0 0.3050847457627119
0 0 0.3025210084033613
0 -1 0.30833333333333335
1 -1 0.3140495867768595
1 0 0.3114754098360656
0 -1 0.3170731707317073
2 -1 0.3225806451612903
1 0 0.32
1 -1 0.3253968253968254
0 0 0.3228346456692913
1 0 0.3203125
1 0 0.3178294573643411
1 0 0.3153846153846154
1 0 0.31297709923664124
1 0 0.3106060606060606
0 -1 0.3157894736842105
0 0 0.31343283582089554
1 0 0.3111111111111111
0 -1 0.3161764705882353
1 0 0.31386861313868614
1 0 0.3115942028985507
0 -1 0.31654676258992803
0 0 0.3142857142857143
0 0 0.3120567375886525
0 0 0.30985915492957744
0 -1 0.3146853146853147
1 0 0.3125
1 0 0.3103448275862069
1 -1 0.3150684931506849
1 0 0.3129251700680272
1 0 0.3108108108108108
1 -1 0.31543624161073824
0 -1 0.32
0 -1 0.32450331125827814
1 0 0.3223684210526316
1 0 0.3202614379084967
1 0 0.3181818181818182
2 -1 0.3225806451612903
1 0 0.32051282051282054
2 -1 0.3248407643312102
0 0 0.3227848101265823
0 0 0.32075471698113206
1 0 0.31875
1 0 0.3167701863354037
1 0 0.3148148148148148
0 0 0.3128834355828221
1 -1 0.3170731707317073
1 0 0.3151515151515151
1 0 0.3132530120481928
1 0 0.31137724550898205
2 0 0.30952380952380953
1 0 0.3076923076923077
1 0 0.3058823529411765
1 0 0.30409356725146197
2 -1 0.3081395348837209
0 0 0.3063583815028902
1 -1 0.3103448275862069
1 0 0.30857142857142855
0 0 0.3068181818181818
0 0 0.3050847457627119
0 -1 0.3089887640449438
1 0 0.30726256983240224
1 0 0.3055555555555556
0 0 0.30386740331491713
1 -1 0.3076923076923077
1 -1 0.3114754098360656
1 0 0.30978260869565216
1 0 0.3081081081081081
1 0 0.3064516129032258
1 0 0.3048128342245989
1 0 0.30319148936170215
1 0 0.30158730158730157
1 0 0.3
1 0 0.29842931937172773
1 -1 0.3020833333333333
0 0 0.3005181347150259
2 -1 0.30412371134020616
1 0 0.30256410256410254
1 0 0.3010204081632653
1 0 0.29949238578680204
1 0 0.29797979797979796
1 -1 0.3015075376884422
2 -1 0.305
0 0 0.3034825870646766
2 -1 0.3069306930693069
1 0 0.3054187192118227
2 -1 0.3088235294117647
1 0 0.3073170731707317
0 0 0.3058252427184466
1 0 0.30434782608695654
1 0 0.30288461538461536
2 -1 0.3062200956937799
1 0 0.3047619047619048
2 -1 0.3080568720379147
1 0 0.30660377358490565
1 0 0.3051643192488263
0 0 0.3037383177570093
0 0 0.3023255813953488
0 -1 0.3055555555555556
0 -1 0.3087557603686636
1 0 0.3073394495412844
1 0 0.3059360730593607
1 0 0.30454545454545456
0 -1 0.3076923076923077
2 -1 0.3108108108108108
0 0 0.3094170403587444
2 -1 0.3125
0 0 0.3111111111111111
1 0 0.30973451327433627
1 0 0.30837004405286345
1 0 0.30701754385964913
0 -1 0.31004366812227074
1 0 0.30869565217391304
0 0 0.30735930735930733
1 0 0.30603448275862066
1 0 0.30472103004291845
1 0 0.3034188034188034
1 0 0.3021276595744681
0 -1 0.3050847457627119
0 0 0.3037974683544304
0 0 0.3025210084033613
0 0 0.301255230125523
1 0 0.3
0 0 0.2987551867219917
1 0 0.2975206611570248
1 -1 0.3004115226337449
1 0 0.29918032786885246
1 0 0.2979591836734694
1 0 0.2967479674796748
1 0 0.29554655870445345
2 -1 0.29838709677419356
1 0 0.2971887550200803
1 0 0.296
1 0 0.2948207171314741
1 -1 0.2976190476190476
1 0 0.2964426877470356
1 0 0.2952755905511811
1 0 0.29411764705882354
0 -1 0.296875
0 -1 0.29961089494163423
1 0 0.29844961240310075
0 0 0.2972972972972973
1 0 0.29615384615384616
1 0 0.2950191570881226
0 0 0.29389312977099236
1 0 0.29277566539923955
1 0 0.2916666666666667
0 -1 0.2943396226415094
0 -1 0.29699248120300753
0 0 0.2958801498127341
0 -1 0.29850746268656714
0 -1 0.30111524163568776
1 0 0.3
1 0 0.2988929889298893
0 0 0.2977941176470588
2 -1 0.30036630036630035
0 -1 0.3029197080291971
1 0 0.3018181818181818
1 -1 0.30434782608695654
1 0 0.30324909747292417
1 0 0.302158273381295
1 0 0.3010752688172043
2 -1 0.30357142857142855
1 0 0.302491103202847
0 -1 0.3049645390070922
1 -1 0.30742049469964666
0 -1 0.30985915492957744
0 0 0.3087719298245614
0 0 0.3076923076923077
1 0 0.30662020905923343
2 -1 0.3090277777777778
1 0 0.3079584775086505
1 0 0.30689655172413793
0 0 0.30584192439862545
1 0 0.3047945205479452
1 0 0.3037542662116041
1 0 0.30272108843537415
1 -1 0.3050847457627119
1 0 0.30405405405405406
1 0 0.30303030303030304
2 -1 0.3053691275167785
2 -1 0.3076923076923077
1 0 0.30666666666666664
1 0 0.30564784053156147
0 -1 0.3079470198675497
1 0 0.3069306930693069
1 0 0.3059210526315789
1 0 0.30491803278688523
0 -1 0.30718954248366015
2 -1 0.30944625407166126
0 0 0.30844155844155846
0 -1 0.3106796116504854
0 -1 0.31290322580645163
1 0 0.31189710610932475
1 0 0.3108974358974359
1 0 0.30990415335463256
1 0 0.3089171974522293
1 0 0.30793650793650795
0 0 0.3069620253164557
1 0 0.305993690851735
1 0 0.3050314465408805
1 0 0.30407523510971785
0 0 0.303125
1 0 0.30218068535825543
0 -1 0.30434782608695654
2 -1 0.3065015479876161
0 0 0.3055555555555556
1 0 0.3046153846153846
0 0 0.30368098159509205
1 0 0.30275229357798167
1 0 0.3018292682926829
1 0 0.3009118541033435
0 0 0.3
1 0 0.2990936555891239
1 0 0.29819277108433734
1 0 0.2972972972972973
0 0 0.2964071856287425
0 0 0.2955223880597015
1 0 0.29464285714285715
0 0 0.29376854599406527
1 0 0.29289940828402367
2 -1 0.2949852507374631
1 0 0.29411764705882354
0 -1 0.2961876832844575
0 -1 0.2982456140350877
1 0 0.29737609329446063
1 0 0.29651162790697677
0 -1 0.2985507246376812
1 0 0.2976878612716763
1 0 0.2968299711815562
0 -1 0.2988505747126437
1 0 0.2979942693409742
2 -1 0.3
0 0 0.29914529914529914
0 0 0.29829545454545453
1 0 0.29745042492917845
1 0 0.2966101694915254
1 -1 0.29859154929577464
1 0 0.29775280898876405
1 0 0.2969187675070028
2 -1 0.2988826815642458
1 0 0.298050139275766
1 -1 0.3
2 -1 0.30193905817174516
2 -1 0.30386740331491713
0 -1 0.30578512396694213
1 -1 0.3076923076923077
1 0 0.30684931506849317
0 0 0.30601092896174864
1 0 0.30517711171662126
0 0 0.30434782608695654
2 -1 0.3062330623306233
0 -1 0.3081081081081081
1 0 0.30727762803234504
0 0 0.3064516129032258
1 0 0.30563002680965146
1 0 0.3048128342245989
0 0 0.304
1 0 0.30319148936170215
1 0 0.30238726790450926
0 -1 0.30423280423280424
1 0 0.3034300791556728
1 0 0.3026315789473684
2 0 0.30183727034120733
0 -1 0.3036649214659686
2 -1 0.30548302872062666
1 0 0.3046875
0 -1 0.3064935064935065
0 0 0.30569948186528495
1 0 0.3049095607235142
1 0 0.30412371134020616
1 0 0.3033419023136247
0 0 0.30256410256410254
1 0 0.30179028132992325
0 -1 0.30357142857142855
1 0 0.30279898218829515
2 -1 0.30456852791878175
1 0 0.3037974683544304
1 0 0.30303030303030304
1 -1 0.3047858942065491
1 0 0.30402010050251255
2 -1 0.3057644110275689
0 0 0.305
1 -1 0.30673316708229426
1 -1 0.30845771144278605
1 0 0.3076923076923077
2 -1 0.3094059405940594
0 0 0.30864197530864196
0 0 0.3078817733990148
1 0 0.3071253071253071
2 -1 0.3088235294117647
1 0 0.3080684596577017
0 -1 0.3097560975609756
1 0 0.30900243309002434
1 0 0.308252427184466
1 -1 0.3099273607748184
1 0 0.30917874396135264
0 0 0.30843373493975906
2 -1 0.31009615384615385
1 0 0.30935251798561153
1 -1 0.31100478468899523
1 0 0.31026252983293556
0 -1 0.3119047619047619
0 -1 0.31353919239904987
1 0 0.3127962085308057
0 0 0.3120567375886525
2 -1 0.3136792452830189
0 -1 0.31529411764705884
2 -1 0.31690140845070425
1 0 0.3161592505854801
1 0 0.31542056074766356
1 0 0.3146853146853147
1 0 0.313953488372093
1 0 0.31322505800464034
1 0 0.3125
0 -1 0.3140877598152425
0 -1 0.315668202764977
1 0 0.31494252873563217
1 0 0.31422018348623854
1 -1 0.3157894736842105
1 0 0.3150684931506849
0 0 0.3143507972665148
1 0 0.31363636363636366
0 -1 0.31519274376417233
0 -1 0.3167420814479638
0 0 0.3160270880361174
1 -1 0.31756756756756754
2 -1 0.31910112359550563
1 0 0.3183856502242152
0 0 0.31767337807606266
1 0 0.3169642857142857
1 0 0.31625835189309576
0 0 0.31555555555555553
0 -1 0.3170731707317073
1 0 0.3163716814159292
0 -1 0.31788079470198677
0 -1 0.31938325991189426
1 0 0.31868131868131866
0 0 0.31798245614035087
1 0 0.3172866520787746
0 0 0.3165938864628821
0 0 0.3159041394335512
1 -1 0.3173913043478261
1 0 0.31670281995661603
1 0 0.31601731601731603
2 -1 0.3174946004319654
1 0 0.3168103448275862
1 0 0.3161290322580645
1 0 0.315450643776824
1 0 0.3147751605995717
0 0 0.3141025641025641
0 0 0.31343283582089554
0 -1 0.3148936170212766
2 -1 0.31634819532908703
1 0 0.3156779661016949
0 0 0.3150105708245243
1 0 0.3143459915611814
0 -1 0.3157894736842105
0 -1 0.3172268907563025
1 0 0.3165618448637317
1 0 0.3158995815899582
1 0 0.31524008350730687
0 -1 0.31666666666666665
2 -1 0.3180873180873181
1 0 0.31742738589211617
0 0 0.3167701863354037
0 -1 0.3181818181818182
1 0 0.31752577319587627
2 -1 0.31893004115226337
2 -1 0.3203285420944558
1 0 0.319672131147541
1 0 0.31901840490797545
0 0 0.3183673469387755
1 0 0.31771894093686354
1 0 0.3170731707317073
1 -1 0.3184584178498986
1 0 0.31781376518218624
1 -1 0.3191919191919192
1 0 0.3185483870967742
0 -1 0.3199195171026157
1 0 0.3192771084337349
1 -1 0.32064128256513025
1 0 0.32
0 0 0.3193612774451098
2 -1 0.3207171314741036
1 0 0.32007952286282304
1 0 0.3194444444444444
1 0 0.3188118811881188
1 0 0.3181818181818182
1 -1 0.31952662721893493
1 0 0.3188976377952756
2 -1 0.32023575638506874
1 -1 0.3215686274509804
1 0 0.32093933463796476
1 0 0.3203125
1 0 0.31968810916179335
0 0 0.31906614785992216
1 0 0.31844660194174756
0 0 0.3178294573643411
1 0 0.31721470019342357
1 0 0.3166023166023166
0 0 0.3159922928709056
0 0 0.3153846153846154
1 0 0.31477927063339733
1 -1 0.3160919540229885
1 0 0.3154875717017208
0 -1 0.31679389312977096
2 -1 0.3180952380952381
0 0 0.31749049429657794
1 0 0.31688804554079697
1 0 0.3162878787878788
0 0 0.31568998109640833
0 -1 0.3169811320754717
1 0 0.3163841807909605
1 0 0.3157894736842105
0 0 0.3151969981238274
0 0 0.3146067415730337
1 0 0.31401869158878504
1 0 0.31343283582089554
2 -1 0.31471135940409684
2 0 0.3141263940520446
1 -1 0.31539888682745826
1 0 0.3148148148148148
0 0 0.3142329020332717
1 0 0.31365313653136534
1 0 0.31307550644567217
2 -1 0.31433823529411764
1 0 0.3137614678899083
2 -1 0.315018315018315
2 0 0.31444241316270566
2 -1 0.3156934306569343
1 0 0.3151183970856102
1 0 0.3145454545454546
0 0 0.3139745916515426
0 -1 0.31521739130434784
1 -1 0.31645569620253167
2 -1 0.3176895306859206
1 0 0.3171171171171171
0 0 0.31654676258992803
1 -1 0.3177737881508079
0 0 0.3172043010752688
0 0 0.31663685152057247
0 0 0.31607142857142856
1 0 0.3155080213903743
1 0 0.31494661921708184
0 0 0.31438721136767317
0 0 0.31382978723404253
0 0 0.31327433628318585
1 0 0.3127208480565371
1 -1 0.31393298059964725
0 0 0.31338028169014087
0 0 0.31282952548330406
1 0 0.312280701754386
1 0 0.3117338003502627
1 0 0.3111888111888112
0 0 0.3106457242582897
1 0 0.31010452961672474
0 0 0.3095652173913043
1 0 0.3090277777777778
1 0 0.30849220103986136
0 0 0.3079584775086505
1 0 0.307426597582038
1 0 0.30689655172413793
0 -1 0.3080895008605852
2 -1 0.30927835051546393
1 0 0.30874785591766724
0 0 0.3082191780821918
1 0 0.3076923076923077
1 0 0.30716723549488056
1 0 0.30664395229982966
1 0 0.30612244897959184
1 -1 0.3073005093378608
1 0 0.30677966101694915
0 -1 0.3079526226734349
1 0 0.30743243243243246
1 0 0.3069139966273187
1 -1 0.30808080808080807
2 -1 0.3092436974789916
1 0 0.3087248322147651
0 0 0.3082077051926298
0 0 0.3076923076923077
1 0 0.3071786310517529
0 0 0.30666666666666664
0 0 0.30615640599001664
1 0 0.30564784053156147
2 -1 0.3067993366500829
0 0 0.30629139072847683
1 0 0.30578512396694213
1 0 0.30528052805280526
1 0 0.30477759472817134
0 0 0.3042763157894737
1 -1 0.3054187192118227
1 0 0.30491803278688523
1 0 0.3044189852700491
1 0 0.30392156862745096
1 0 0.3034257748776509
1 0 0.30293159609120524
0 -1 0.3040650406504065
1 0 0.30357142857142855
1 0 0.30307941653160453
0 -1 0.3042071197411003
1 0 0.3037156704361874
1 -1 0.30483870967741933
0 -1 0.3059581320450886
1 0 0.3054662379421222
1 0 0.30497592295345105
0 0 0.30448717948717946
1 -1 0.3056
1 0 0.305111821086262
0 0 0.30462519936204147
1 0 0.304140127388535
2 0 0.3036565977742448
2 -1 0.3047619047619048
0 -1 0.3058637083993661
0 -1 0.3069620253164557
1 0 0.30647709320695105
1 0 0.305993690851735
1 0 0.30551181102362207
1 0 0.3050314465408805
2 -1 0.30612244897959184
1 0 0.3056426332288401
1 0 0.3051643192488263
2 -1 0.30625
1 -1 0.3073322932917317
0 0 0.3068535825545171
0 0 0.30637636080870917
1 0 0.3059006211180124
1 0 0.3054263565891473
1 0 0.30495356037151705
1 0 0.3044822256568779
0 0 0.30401234567901236
1 0 0.3035439137134052
1 -1 0.3046153846153846
0 -1 0.30568356374807987
2 -1 0.3067484662576687
1 -1 0.30781010719754975
2 0 0.3073394495412844
1 -1 0.3083969465648855
0 -1 0.3094512195121951
1 0 0.3089802130898021
0 -1 0.3100303951367781
1 0 0.3095599393019727
0 0 0.3090909090909091
1 0 0.3086232980332829
1 0 0.3081570996978852
2 0 0.3076923076923077
1 0 0.3072289156626506
0 0 0.3067669172932331
1 0 0.3063063063063063
0 0 0.3058470764617691
0 0 0.30538922155688625
1 0 0.30493273542600896
1 0 0.3044776119402985
1 -1 0.3055141579731744
1 0 0.30505952380952384
1 0 0.30460624071322434
1 -1 0.3056379821958457
1 0 0.30518518518518517
0 -1 0.3062130177514793
1 0 0.30576070901033975
2 -1 0.30678466076696165
1 0 0.30633284241531666
0 -1 0.3073529411764706
0 0 0.3069016152716593
2 -1 0.30791788856304986
0 0 0.3074670571010249
1 -1 0.3084795321637427
1 -1 0.3094890510948905
1 0 0.30903790087463556
0 0 0.30858806404657935
1 -1 0.30959302325581395
0 -1 0.31059506531204645
2 -1 0.3115942028985507
0 0 0.3111432706222865
1 0 0.3106936416184971
1 0 0.31024531024531027
1 -1 0.3112391930835735
0 0 0.3107913669064748
1 -1 0.3117816091954023
0 0 0.3113342898134864
1 -1 0.3123209169054441
0 0 0.31187410586552217
0 -1 0.31285714285714283
2 -1 0.31383737517831667
1 0 0.31339031339031337
1 0 0.3129445234708393
0 0 0.3125
0 0 0.3120567375886525
1 0 0.311614730878187
1 -1 0.3125884016973126
1 -1 0.3135593220338983
1 0 0.3131170662905501
1 -1 0.31408450704225355
1 -1 0.3150492264416315
1 0 0.3146067415730337
1 0 0.3141654978962132
2 -1 0.31512605042016806
1 0 0.3146853146853147
2 0 0.31424581005586594
0 -1 0.31520223152022314
0 0 0.3147632311977716
0 0 0.3143254520166898
0 0 0.3138888888888889
2 -1 0.31484049930651875
1 0 0.314404432132964
0 0 0.313969571230982
1 0 0.31353591160220995
0 0 0.31310344827586206
0 0 0.31267217630853994
2 -1 0.31361760660247595
1 0 0.3131868131868132
1 -1 0.31412894375857336
2 -1 0.3150684931506849
2 -1 0.31600547195622436
1 0 0.3155737704918033
1 0 0.3151432469304229
1 0 0.31471389645776565
2 -1 0.31564625850340133
1 -1 0.31657608695652173
1 0 0.31614654002713705
1 0 0.3157181571815718
1 0 0.3152909336941813
0 0 0.31486486486486487
1 0 0.3144399460188934
1 0 0.3140161725067385
1 0 0.3135935397039031
1 0 0.3131720430107527
0 0 0.312751677852349
1 0 0.31233243967828417
0 -1 0.3132530120481928
1 0 0.31283422459893045
1 0 0.31241655540720964
1 0 0.312
1 0 0.31158455392809586
0 0 0.31117021276595747
0 0 0.3107569721115538
2 -1 0.3116710875331565
0 0 0.31125827814569534
0 0 0.31084656084656087
0 0 0.3104359313077939
2 -1 0.3113456464379947
1 0 0.310935441370224
2 -1 0.3118421052631579
1 0 0.3114323258869908
1 0 0.3110236220472441
2 -1 0.3119266055045872
2 -1 0.31282722513089006
2 -1 0.3137254901960784
1 0 0.3133159268929504
0 0 0.31290743155149936
0 0 0.3125
1 0 0.31209362808842656
0 0 0.3116883116883117
2 -1 0.3125810635538262
2 -1 0.3134715025906736
1 -1 0.314359637774903
0 0 0.313953488372093
0 -1 0.31483870967741934
1 0 0.31443298969072164
1 0 0.31402831402831405
0 -1 0.3149100257069409
0 0 0.31450577663671375
1 0 0.3141025641025641
0 0 0.31370038412291934
0 0 0.3132992327365729
2 -1 0.31417624521072796
0 0 0.3137755102040816
2 -1 0.3146496815286624
0 0 0.3142493638676845
2 0 0.3138500635324015
1 0 0.3134517766497462
0 0 0.31305449936628643
1 0 0.31265822784810127
1 0 0.3122629582806574
0 -1 0.31313131313131315
1 0 0.31273644388398486
1 0 0.3123425692695214
1 0 0.3119496855345912
0 0 0.31155778894472363
0 0 0.3111668757841907
0 -1 0.31203007518796994
2 -1 0.31289111389236546
0 0 0.3125
1 0 0.3121098626716604
0 0 0.3117206982543641
1 0 0.31133250311332505
1 0 0.31094527363184077
1 -1 0.31180124223602484
1 0 0.31141439205955335
2 -1 0.31226765799256506
1 0 0.3118811881188119
1 -1 0.3127317676143387
1 0 0.31234567901234567
1 0 0.311960542540074
1 0 0.31157635467980294
1 0 0.3111931119311193
0 0 0.3108108108108108
2 -1 0.3116564417177914
1 -1 0.3125
0 0 0.31211750305997554
1 0 0.3117359413202934
1 0 0.31135531135531136
2 -1 0.3121951219512195
1 0 0.3118148599269184
1 0 0.31143552311435524
1 0 0.3110571081409477
0 0 0.3106796116504854
1 0 0.3103030303030303
0 0 0.3099273607748184
0 0 0.309552599758162
1 0 0.30917874396135264
1 0 0.3088057901085645
1 0 0.30843373493975906
1 0 0.30806257521058966
1 0 0.3076923076923077
1 0 0.30732292917166865
1 0 0.3069544364508393
1 0 0.3065868263473054
1 0 0.3062200956937799
0 0 0.3058542413381123
0 0 0.3054892601431981
0 -1 0.3063170441001192
1 0 0.305952380952381
1 0 0.3055885850178359
0 -1 0.30641330166270786
0 0 0.30604982206405695
2 -1 0.3068720379146919
0 0 0.30650887573964497
0 -1 0.3073286052009456
1 0 0.3069657615112161
0 0 0.30660377358490565
0 -1 0.30742049469964666
2 -1 0.30823529411764705
1 0 0.3078730904817861
0 -1 0.3086854460093897
1 0 0.3083235638921454
1 0 0.3079625292740047
0 -1 0.3087719298245614
0 -1 0.30957943925233644
0 -1 0.3103850641773629
1 0 0.31002331002331
1 0 0.309662398137369
1 -1 0.31046511627906975
0 0 0.31010452961672474
0 0 0.30974477958236657
1 0 0.3093858632676709
2 -1 0.3101851851851852
0 -1 0.3109826589595376
2 -1 0.3117782909930716
1 0 0.31141868512110726
1 0 0.31105990783410137
1 0 0.31070195627157654
0 -1 0.3114942528735632
1 0 0.3111366245694604
2 -1 0.3119266055045872
1 0 0.3115693012600229
0 0 0.3112128146453089
1 0 0.31085714285714283
0 0 0.3105022831050228
1 0 0.31014823261117447
0 0 0.3097949886104784
1 0 0.3094425483503982
0 0 0.3090909090909091
2 -1 0.3098751418842225
1 -1 0.31065759637188206
1 0 0.3103057757644394
2 -1 0.31108597285067874
1 0 0.3107344632768362
1 -1 0.3115124153498871
1 0 0.3111612175873732
1 -1 0.3119369369369369
0 -1 0.312710911136108
0 0 0.31235955056179776
1 0 0.31200897867564537
1 -1 0.312780269058296
1 0 0.3124300111982083
1 0 0.31208053691275167
0 0 0.311731843575419
2 -1 0.3125
1 0 0.31215161649944256
1 0 0.311804008908686
1 0 0.3114571746384872
2 -1 0.31222222222222223
1 0 0.3118756936736959
1 0 0.311529933481153
2 -1 0.3122923588039867
0 0 0.31194690265486724
1 0 0.3116022099447514
1 0 0.31125827814569534
1 0 0.31091510474090406
0 -1 0.31167400881057267
0 -1 0.3124312431243124
1 0 0.3120879120879121
0 -1 0.31284302963776073
1 0 0.3125
0 0 0.312157721796276
1 0 0.31181619256017507
2 -1 0.31256830601092894
1 0 0.31222707423580787
2 -1 0.31297709923664124
0 0 0.31263616557734203
0 0 0.31229597388465724
0 -1 0.3130434782608696
1 0 0.3127035830618892
2 -1 0.31344902386117135
0 -1 0.314192849404117
1 0 0.31385281385281383
1 -1 0.3145945945945946
1 0 0.3142548596112311
1 0 0.313915857605178
0 -1 0.3146551724137931
0 0 0.3143164693218515
1 0 0.3139784946236559
1 0 0.31364124597207305
1 -1 0.3143776824034335
1 0 0.3140407288317256
1 0 0.31370449678800855
1 0 0.31336898395721924
0 0 0.31303418803418803
1 0 0.3127001067235859
1 -1 0.31343283582089554
0 0 0.31309904153354634
1 0 0.3127659574468085
1 0 0.31243358129649307
1 0 0.31210191082802546
1 -1 0.31283138918345704
2 -1 0.3135593220338983
2 -1 0.3142857142857143
0 0 0.313953488372093
1 0 0.3136219640971489
1 0 0.31329113924050633
2 -1 0.31401475237091675
0 -1 0.31473684210526315
1 0 0.31440588853838064
1 -1 0.31512605042016806
1 0 0.3147953830010493
2 0 0.31446540880503143
1 0 0.31413612565445026
0 0 0.3138075313807531
1 0 0.31347962382445144
1 -1 0.31419624217118997
1 0 0.31386861313868614
1 -1 0.3145833333333333
1 0 0.3142559833506764
1 0 0.31392931392931395
0 0 0.31360332294911736
1 0 0.3132780082987552
0 0 0.31295336787564765
0 0 0.31262939958592134
1 0 0.31230610134436404
1 0 0.3119834710743802
2 -1 0.3126934984520124
1 0 0.31237113402061856
1 0 0.3120494335736354
2 -1 0.31275720164609055
0 0 0.31243576567317577
1 0 0.31211498973305957
0 0 0.3117948717948718
1 0 0.3114754098360656
0 0 0.3111566018423746
1 0 0.310838445807771
1 0 0.3105209397344229
1 0 0.31020408163265306
1 0 0.30988786952089703
1 -1 0.3105906313645621
0 0 0.31027466937945064
0 0 0.3099593495934959
1 0 0.3096446700507614
2 -1 0.3103448275862069
1 0 0.3100303951367781
1 0 0.3097165991902834
2 -1 0.3104145601617796
1 -1 0.3111111111111111
0 -1 0.31180625630676084
1 0 0.31149193548387094
1 -1 0.3121852970795569
1 -1 0.31287726358148893
0 -1 0.3135678391959799
2 -1 0.3142570281124498
1 0 0.3139418254764293
1 0 0.313627254509018
0 0 0.3133133133133133
0 0 0.313
1 -1 0.31368631368631367
1 -1 0.3143712574850299
1 0 0.3140578265204387
2 -1 0.3147410358565737
1 0 0.3144278606965174
1 0 0.31411530815109345
0 -1 0.31479642502482624
1 0 0.314484126984127
2 0 0.3141724479682854
0 0 0.31386138613861386
1 0 0.3135509396636993
