max_reward reward cum_regret
1 0 0
1 0 0
1 0 0
0 -1 0.25
0 -1 0.4
1 0 0.3333333333333333
0 -1 0.42857142857142855
1 0 0.375
1 0 0.3333333333333333
1 0 0.3
2 -1 0.36363636363636365
2 -1 0.4166666666666667
2 -1 0.46153846153846156
1 0 0.42857142857142855
0 -1 0.4666666666666667
1 0 0.4375
1 0 0.4117647058823529
1 0 0.3888888888888889
0 -1 0.42105263157894735
1 0 0.4
2 -1 0.42857142857142855
2 -1 0.45454545454545453
2 -1 0.4782608695652174
0 -1 0.5
1 0 0.48
1 0 0.46153846153846156
1 0 0.4444444444444444
0 -1 0.4642857142857143
1 0 0.4482758620689655
1 0 0.43333333333333335
1 0 0.41935483870967744
1 0 0.40625
0 -1 0.42424242424242425
0 -1 0.4411764705882353
1 0 0.42857142857142855
1 0 0.4166666666666667
0 -1 0.43243243243243246
1 0 0.42105263157894735
0 -1 0.4358974358974359
0 -1 0.45
1 0 0.43902439024390244
1 0 0.42857142857142855
1 0 0.4186046511627907
0 -1 0.4318181818181818
0 -1 0.4444444444444444
1 0 0.43478260869565216
0 -1 0.44680851063829785
1 0 0.4375
0 -1 0.4489795918367347
0 -1 0.46
2 -1 0.47058823529411764
1 0 0.46153846153846156
1 0 0.4528301886792453
0 -1 0.46296296296296297
1 0 0.45454545454545453
1 0 0.44642857142857145
0 -1 0.45614035087719296
1 0 0.4482758620689655
2 -1 0.4576271186440678
2 -1 0.4666666666666667
1 0 0.45901639344262296
1 0 0.45161290322580644
1 0 0.4444444444444444
1 0 0.4375
1 0 0.4307692307692308
1 0 0.42424242424242425
0 -1 0.43283582089552236
2 -1 0.4411764705882353
1 0 0.43478260869565216
0 -1 0.44285714285714284
1 0 0.43661971830985913
0 -1 0.4444444444444444
1 0 0.4383561643835616
1 0 0.43243243243243246
1 0 0.4266666666666667
0 -1 0.4342105263157895
1 0 0.42857142857142855
2 -1 0.4358974358974359
0 -1 0.4430379746835443
0 -1 0.45
1 0 0.4444444444444444
1 0 0.43902439024390244
1 0 0.43373493975903615
1 0 0.42857142857142855
1 0 0.4235294117647059
0 -1 0.43023255813953487
0 -1 0.4367816091954023
0 -1 0.4431818181818182
1 0 0.43820224719101125
0 -1 0.4444444444444444
1 0 0.43956043956043955
2 -1 0.44565217391304346
0 -1 0.45161290322580644
0 -1 0.4574468085106383
1 0 0.45263157894736844
0 -1 0.4583333333333333
0 -1 0.4639175257731959
2 -1 0.46938775510204084
1 0 0.46464646464646464
0 -1 0.47
0 -1 0.4752475247524752
1 0 0.47058823529411764
1 0 0.46601941747572817
2 -1 0.47115384615384615
0 -1 0.47619047619047616
1 0 0.4716981132075472
2 -1 0.4766355140186916
0 -1 0.48148148148148145
1 0 0.47706422018348627
1 0 0.4727272727272727
1 0 0.46846846846846846
0 -1 0.4732142857142857
1 0 0.4690265486725664
1 0 0.4649122807017544
1 0 0.4608695652173913
1 0 0.45689655172413796
1 0 0.452991452991453
0 -1 0.4576271186440678
0 -1 0.46218487394957986
0 -1 0.4666666666666667
1 0 0.4628099173553719
1 0 0.45901639344262296
1 0 0.45528455284552843
0 -1 0.4596774193548387
0 -1 0.464
1 0 0.4603174603174603
1 0 0.4566929133858268
2 -1 0.4609375
0 -1 0.46511627906976744
0 -1 0.46923076923076923
1 0 0.46564885496183206
1 0 0.4621212121212121
1 0 0.45864661654135336
1 0 0.4552238805970149
0 -1 0.45925925925925926
1 0 0.45588235294117646
0 -1 0.45985401459854014
1 0 0.45652173913043476
0 -1 0.460431654676259
1 0 0.45714285714285713
1 0 0.45390070921985815
0 -1 0.45774647887323944
1 0 0.45454545454545453
0 -1 0.4583333333333333
1 0 0.45517241379310347
0 -1 0.4589041095890411
0 -1 0.46258503401360546
1 0 0.4594594594594595
0 -1 0.46308724832214765
1 0 0.46
1 0 0.45695364238410596
1 0 0.45394736842105265
2 -1 0.45751633986928103
1 0 0.45454545454545453
1 0 0.45161290322580644
0 -1 0.4551282051282051
1 0 0.45222929936305734
1 0 0.44936708860759494
2 -1 0.4528301886792453
1 0 0.45
1 0 0.4472049689440994
1 0 0.4444444444444444
2 -1 0.44785276073619634
0 -1 0.45121951219512196
1 0 0.4484848484848485
0 -1 0.45180722891566266
2 -1 0.4550898203592814
0 -1 0.4583333333333333
1 0 0.4556213017751479
1 0 0.45294117647058824
2 -1 0.45614035087719296
2 -1 0.45930232558139533
1 0 0.45664739884393063
1 0 0.4540229885057471
1 0 0.4514285714285714
0 -1 0.45454545454545453
0 -1 0.4576271186440678
1 0 0.4550561797752809
1 0 0.45251396648044695
1 0 0.45
1 0 0.44751381215469616
1 0 0.44505494505494503
0 -1 0.44808743169398907
1 0 0.44565217391304346
1 0 0.44324324324324327
2 -1 0.44623655913978494
1 0 0.44385026737967914
0 -1 0.44680851063829785
1 0 0.4444444444444444
0 -1 0.4473684210526316
1 0 0.44502617801047123
1 0 0.4427083333333333
0 -1 0.44559585492227977
1 0 0.44329896907216493
0 -1 0.4461538461538462
0 -1 0.4489795918367347
1 0 0.4467005076142132
1 0 0.4444444444444444
1 0 0.44221105527638194
0 -1 0.445
2 -1 0.44776119402985076
0 -1 0.4504950495049505
1 0 0.4482758620689655
0 -1 0.45098039215686275
2 -1 0.45365853658536587
1 0 0.45145631067961167
2 -1 0.45410628019323673
1 0 0.4519230769230769
1 0 0.44976076555023925
0 -1 0.4523809523809524
2 -1 0.4549763033175355
1 0 0.4528301886792453
1 0 0.4507042253521127
2 -1 0.4532710280373832
1 0 0.4511627906976744
0 -1 0.4537037037037037
1 0 0.45161290322580644
0 -1 0.4541284403669725
0 -1 0.45662100456621
2 -1 0.4590909090909091
0 -1 0.46153846153846156
1 0 0.4594594594594595
0 -1 0.4618834080717489
1 0 0.45982142857142855
0 -1 0.4622222222222222
2 -1 0.4646017699115044
2 -1 0.4669603524229075
0 -1 0.4692982456140351
0 -1 0.47161572052401746
0 -1 0.47391304347826085
1 0 0.47186147186147187
1 0 0.4698275862068966
2 -1 0.4721030042918455
2 -1 0.47435897435897434
1 0 0.4723404255319149
1 0 0.4703389830508475
1 0 0.46835443037974683
1 0 0.46638655462184875
1 0 0.46443514644351463
1 0 0.4625
1 0 0.4605809128630705
0 -1 0.4628099173553719
0 -1 0.46502057613168724
2 -1 0.4672131147540984
2 -1 0.46938775510204084
1 0 0.46747967479674796
2 -1 0.46963562753036436
0 -1 0.4717741935483871
0 -1 0.4738955823293173
1 0 0.472
1 0 0.4701195219123506
0 -1 0.4722222222222222
0 -1 0.4743083003952569
0 -1 0.4763779527559055
2 -1 0.47843137254901963
1 0 0.4765625
1 0 0.47470817120622566
1 0 0.4728682170542636
0 -1 0.4749034749034749
1 0 0.47307692307692306
2 -1 0.47509578544061304
0 -1 0.4770992366412214
1 0 0.4752851711026616
0 -1 0.4772727272727273
1 0 0.47547169811320755
1 0 0.47368421052631576
1 0 0.47191011235955055
1 0 0.4701492537313433
2 -1 0.4721189591078067
2 -1 0.4740740740740741
1 0 0.47232472324723246
1 0 0.47058823529411764
1 0 0.46886446886446886
0 -1 0.4708029197080292
1 0 0.4690909090909091
0 -1 0.47101449275362317
1 0 0.4693140794223827
1 0 0.4676258992805755
1 0 0.4659498207885305
0 -1 0.46785714285714286
1 0 0.46619217081850534
1 0 0.4645390070921986
0 -1 0.4664310954063604
1 0 0.4647887323943662
1 0 0.4631578947368421
1 0 0.46153846153846156
0 -1 0.4634146341463415
1 0 0.4618055555555556
2 -1 0.46366782006920415
1 0 0.46206896551724136
1 0 0.46048109965635736
1 0 0.4589041095890411
0 -1 0.46075085324232085
2 -1 0.46258503401360546
1 0 0.4610169491525424
1 0 0.4594594594594595
1 0 0.45791245791245794
1 0 0.4563758389261745
1 0 0.45484949832775917
1 0 0.4533333333333333
0 -1 0.45514950166112955
0 -1 0.45695364238410596
0 -1 0.45874587458745875
1 0 0.45723684210526316
2 -1 0.45901639344262296
1 0 0.45751633986928103
2 -1 0.4592833876221498
0 -1 0.461038961038961
1 0 0.459546925566343
0 -1 0.4612903225806452
0 -1 0.4630225080385852
1 0 0.46153846153846156
0 -1 0.46325878594249204
1 0 0.46178343949044587
2 -1 0.4634920634920635
0 -1 0.4651898734177215
1 0 0.4637223974763407
1 0 0.46226415094339623
0 -1 0.46394984326018807
1 0 0.4625
1 0 0.46105919003115264
0 -1 0.46273291925465837
0 -1 0.46439628482972134
0 -1 0.4660493827160494
1 0 0.4646153846153846
0 -1 0.4662576687116564
1 0 0.4648318042813456
1 0 0.4634146341463415
1 0 0.46200607902735563
0 -1 0.4636363636363636
1 0 0.4622356495468278
2 -1 0.463855421686747
1 0 0.4624624624624625
0 -1 0.46407185628742514
1 0 0.4626865671641791
0 -1 0.4642857142857143
2 -1 0.4658753709198813
0 -1 0.46745562130177515
1 0 0.46607669616519176
1 0 0.4647058823529412
1 0 0.4633431085043988
1 0 0.4619883040935672
1 0 0.4606413994169096
2 -1 0.4622093023255814
0 -1 0.463768115942029
1 0 0.4624277456647399
1 0 0.4610951008645533
1 0 0.45977011494252873
2 -1 0.46131805157593125
1 0 0.46
2 -1 0.46153846153846156
0 -1 0.4630681818181818
1 0 0.46175637393767704
2 -1 0.4632768361581921
0 -1 0.4647887323943662
1 0 0.46348314606741575
2 -1 0.4649859943977591
0 -1 0.4664804469273743
0 -1 0.467966573816156
1 0 0.4666666666666667
1 0 0.46537396121883656
0 -1 0.46685082872928174
2 -1 0.46831955922865015
1 0 0.46703296703296704
0 -1 0.4684931506849315
1 0 0.4672131147540984
1 0 0.4659400544959128
2 -1 0.4673913043478261
1 0 0.46612466124661245
0 -1 0.46756756756756757
1 0 0.46630727762803237
0 -1 0.46774193548387094
1 0 0.46648793565683644
1 0 0.46524064171123
2 -1 0.4666666666666667
1 0 0.4654255319148936
0 -1 0.46684350132625996
1 0 0.4656084656084656
1 0 0.46437994722955145
1 0 0.4631578947368421
2 -1 0.4645669291338583
0 -1 0.46596858638743455
1 0 0.46475195822454307
0 -1 0.4661458333333333
0 -1 0.4675324675324675
1 0 0.46632124352331605
1 0 0.46511627906976744
1 0 0.4639175257731959
1 0 0.46272493573264784
1 0 0.46153846153846156
1 0 0.46035805626598464
1 0 0.45918367346938777
1 0 0.4580152671755725
0 -1 0.4593908629441624
0 -1 0.4607594936708861
1 0 0.4595959595959596
2 -1 0.4609571788413098
0 -1 0.4623115577889447
1 0 0.46115288220551376
1 0 0.46
1 0 0.45885286783042395
0 -1 0.4601990049751244
1 0 0.45905707196029777
1 0 0.45792079207920794
0 -1 0.45925925925925926
1 0 0.458128078817734
0 -1 0.4594594594594595
2 -1 0.46078431372549017
1 0 0.45965770171149145
1 0 0.4585365853658537
2 -1 0.45985401459854014
1 0 0.4587378640776699
1 0 0.4576271186440678
1 0 0.45652173913043476
1 0 0.45542168674698796
0 -1 0.4567307692307692
2 -1 0.4580335731414868
2 -1 0.45933014354066987
0 -1 0.4606205250596659
1 0 0.4595238095238095
0 -1 0.46080760095011875
1 0 0.4597156398104265
1 0 0.458628841607565
1 0 0.45754716981132076
0 -1 0.4588235294117647
0 -1 0.460093896713615
0 -1 0.4613583138173302
1 0 0.4602803738317757
0 -1 0.46153846153846156
2 -1 0.4627906976744186
1 0 0.4617169373549884
1 0 0.46064814814814814
1 0 0.45958429561200925
1 0 0.45852534562211983
0 -1 0.45977011494252873
0 -1 0.4610091743119266
1 0 0.459954233409611
0 -1 0.4611872146118721
0 -1 0.4624145785876993
1 0 0.46136363636363636
0 -1 0.46258503401360546
1 0 0.46153846153846156
1 0 0.4604966139954853
1 0 0.4594594594594595
1 0 0.4584269662921348
2 -1 0.45964125560538116
0 -1 0.4608501118568233
0 -1 0.46205357142857145
0 -1 0.46325167037861914
0 -1 0.46444444444444444
0 -1 0.4656319290465632
1 0 0.4646017699115044
1 0 0.46357615894039733
1 0 0.46255506607929514
1 0 0.46153846153846156
1 0 0.4605263157894737
2 -1 0.4617067833698031
0 -1 0.462882096069869
1 0 0.46187363834422657
1 0 0.4608695652173913
0 -1 0.46203904555314534
0 -1 0.46320346320346323
2 -1 0.46436285097192226
1 0 0.46336206896551724
1 0 0.46236559139784944
0 -1 0.463519313304721
0 -1 0.46466809421841543
1 0 0.4636752136752137
0 -1 0.464818763326226
1 0 0.46382978723404256
0 -1 0.46496815286624205
0 -1 0.4661016949152542
1 0 0.46511627906976744
1 0 0.4641350210970464
0 -1 0.4652631578947368
